rally_uid,sex,match,numberGame,rally_id,strikeNumber,scoreSelf,scoreOther,serverGetPoint,gamePlayerId,gamePlayerOtherId,strikeId,handId,strengthId,spinId,pointId,actionId,positionId
1,1,1,1,1,1,0,0,1,1,2,1,1,3,5,4,0,0
1,1,1,1,1,2,0,0,1,2,1,2,2,2,1,9,4,0
1,1,1,1,1,3,0,0,1,1,2,4,1,1,1,7,1,0
1,1,1,1,1,4,0,0,1,2,1,4,0,0,0,0,0,0
2,1,1,1,2,1,1,0,1,1,2,1,1,3,5,4,0,0
2,1,1,1,2,2,0,1,1,2,1,2,1,2,1,9,4,0
2,1,1,1,2,3,1,0,1,1,2,4,2,2,1,7,6,0
2,1,1,1,2,4,0,1,1,2,1,4,2,2,1,9,6,0
2,1,1,1,2,5,1,0,1,1,2,4,1,2,1,7,6,0
2,1,1,1,2,6,0,1,1,2,1,4,0,0,0,0,0,0
3,1,1,1,3,1,0,2,0,2,1,1,1,3,2,4,0,0
3,1,1,1,3,2,2,0,0,1,2,2,1,3,2,8,10,0
3,1,1,1,3,3,0,2,0,2,1,4,0,0,0,0,0,0
4,1,1,1,4,1,0,3,1,2,1,1,1,3,4,9,0,0
4,1,1,1,4,2,3,0,1,1,2,2,2,3,1,8,6,0
4,1,1,1,4,3,0,3,1,2,1,4,2,2,1,7,5,0
4,1,1,1,4,4,3,0,1,1,2,4,0,0,0,0,0,0
5,1,1,1,5,1,3,1,0,1,2,1,1,3,2,4,0,0
5,1,1,1,5,2,1,3,0,2,1,2,1,1,1,9,1,0
5,1,1,1,5,3,3,1,0,1,2,4,0,0,0,0,0,0
6,1,1,1,6,1,3,2,0,1,2,1,1,3,5,9,0,0
6,1,1,1,6,2,2,3,0,2,1,2,2,2,1,9,1,0
6,1,1,1,6,3,3,2,0,1,2,4,2,3,1,9,6,0
6,1,1,1,6,4,2,3,0,2,1,4,2,1,1,7,1,0
6,1,1,1,6,5,3,2,0,1,2,4,0,0,0,0,0,0
7,1,1,1,7,1,3,3,1,2,1,1,1,3,5,7,0,0
7,1,1,1,7,2,3,3,1,1,2,2,1,1,1,9,1,0
7,1,1,1,7,3,3,3,1,2,1,4,2,2,1,8,13,0
7,1,1,1,7,4,3,3,1,1,2,4,1,1,1,8,1,0
7,1,1,1,7,5,3,3,1,2,1,4,1,1,1,7,2,0
7,1,1,1,7,6,3,3,1,1,2,4,0,0,0,0,0,0
8,1,1,1,8,1,4,3,1,2,1,1,1,3,2,5,0,0
8,1,1,1,8,2,3,4,1,1,2,2,1,3,2,8,10,0
8,1,1,1,8,3,4,3,1,2,1,4,1,1,1,7,1,0
8,1,1,1,8,4,3,4,1,1,2,4,1,2,1,9,13,0
8,1,1,1,8,5,4,3,1,2,1,4,1,1,1,7,1,0
8,1,1,1,8,6,3,4,1,1,2,4,1,2,1,8,13,0
8,1,1,1,8,7,4,3,1,2,1,4,1,1,1,9,1,0
8,1,1,1,8,8,3,4,1,1,2,4,0,0,0,0,0,0
9,1,1,1,9,1,3,5,0,1,2,1,1,3,5,4,0,0
9,1,1,1,9,2,5,3,0,2,1,2,2,2,1,9,4,0
9,1,1,1,9,3,3,5,0,1,2,4,2,3,1,9,6,0
9,1,1,1,9,4,5,3,0,2,1,4,2,2,1,7,5,0
9,1,1,1,9,5,3,5,0,1,2,4,0,0,0,0,0,0
10,1,1,1,10,1,3,6,0,1,2,1,1,3,5,4,0,0
10,1,1,1,10,2,6,3,0,2,1,2,2,2,1,8,4,0
10,1,1,1,10,3,3,6,0,1,2,4,1,1,1,8,1,0
10,1,1,1,10,4,6,3,0,2,1,4,2,3,1,8,6,0
10,1,1,1,10,5,3,6,0,1,2,4,1,1,1,9,1,0
11,1,1,1,11,1,7,3,0,2,1,1,1,3,2,4,0,0
11,1,1,1,11,2,3,7,0,1,2,2,2,3,2,8,10,0
11,1,1,1,11,3,7,3,0,2,1,4,2,1,1,8,1,0
11,1,1,1,11,4,3,7,0,1,2,4,2,2,1,4,13,0
11,1,1,1,11,5,7,3,0,2,1,4,0,0,0,0,0,0
12,1,1,1,12,1,7,4,0,2,1,1,1,3,2,7,0,0
12,1,1,1,12,2,4,7,0,1,2,2,1,1,1,9,1,0
12,1,1,1,12,3,7,4,0,2,1,4,2,2,1,8,13,0
12,1,1,1,12,4,4,7,0,1,2,4,1,1,1,9,1,0
12,1,1,1,12,5,7,4,0,2,1,4,0,0,0,0,0,0
13,1,1,1,13,1,5,7,1,1,2,1,1,3,4,9,0,0
13,1,1,1,13,2,7,5,1,2,1,2,2,2,1,9,1,0
13,1,1,1,13,3,5,7,1,1,2,4,1,1,1,7,2,0
13,1,1,1,13,4,7,5,1,2,1,4,0,0,0,0,0,0
14,1,1,1,14,1,6,7,1,1,2,1,1,3,5,4,0,0
14,1,1,1,14,2,7,6,1,2,1,2,0,0,0,0,0,0
15,1,1,1,15,1,7,7,0,2,1,1,1,3,2,6,0,0
15,1,1,1,15,2,7,7,0,1,2,2,2,3,2,4,10,0
15,1,1,1,15,3,7,7,0,2,1,4,1,3,2,9,10,0
15,1,1,1,15,4,7,7,0,1,2,4,1,1,1,9,1,0
15,1,1,1,15,5,7,7,0,2,1,4,0,0,0,0,0,0
16,1,1,1,16,1,7,8,0,2,1,1,1,3,2,5,0,0
16,1,1,1,16,2,8,7,0,1,2,2,1,3,2,7,10,0
16,1,1,1,16,3,7,8,0,2,1,4,1,1,1,0,1,0
17,1,1,1,17,1,9,7,0,1,2,1,1,3,5,4,0,0
17,1,1,1,17,2,7,9,0,2,1,2,2,2,1,9,4,0
17,1,1,1,17,3,9,7,0,1,2,4,2,2,1,7,6,0
17,1,1,1,17,4,7,9,0,2,1,4,2,2,1,9,6,0
17,1,1,1,17,5,9,7,0,1,2,4,0,0,0,0,0,0
18,1,1,1,18,1,9,8,1,1,2,1,1,3,5,4,0,0
18,1,1,1,18,2,8,9,1,2,1,2,2,3,1,9,4,0
18,1,1,1,18,3,9,8,1,1,2,4,2,2,1,7,6,0
